date,title,name,id,message
"2014-10-04 9:59:09"," ",,642742669,"… "
"2014-10-06 11:20:53"," ",,105904447,"节日快乐~~~~~~[表情] "
"2014-10-06 11:21:46"," ",,506162630,"快结束了。。。。 "
"2014-10-06 11:21:58"," ",,105904447,"我已经上了半天班了 "
"2014-10-06 11:22:11"," ",,506162630,"恭喜你 "
"2014-10-06 11:22:15"," ",,105904447,"竟然碰到熊孩子把现场的服务器给关了。 "
"2014-10-06 11:22:43"," ",,105904447,"一万个草泥马在奔腾着 准备去吃中饭 "
"2014-10-06 11:23:04"," ",,506162630,"我也准备吃饭去了 "
"2014-10-06 11:23:14"," ",,105904447,"[图片] "
"2014-10-06 11:23:19"," ",,105904447,"吃饭让我觉得精力充沛 "
"2014-10-06 11:23:24"," ",,105904447,"尤其是公司报销的时候 "
"2014-10-06 23:35:15"," ",,506162630,"http://www.tuicool.com/topics/10100014 "
"2014-10-06 23:35:20"," ",,286912264,"我用夜晚来学习由衷的欣赏 当大街开始孤独，我也学会欣赏人群 对于寂静的来临，我要学着等待平静 潮水虽然不急，仍属于潮起，我始终 会慢下每一步进发，保持与秋天同样的步履 晚安，美好的人 2014-10-6 "
"2014-10-07 14:00:13"," ",,907439512,
"2014-10-07 14:55:57"," ",,2930242098,"[表情] "
"2014-10-07 14:56:55"," ",,1428484170,"[图片] "
"2014-10-07 14:57:00"," ",,1428484170,"[图片] "
"2014-10-07 14:57:05"," ",,1428484170,"[图片] "
"2014-10-07 14:57:11"," ",,1428484170,"可以漂浮这个 "
"2014-10-07 14:57:16"," ",,1428484170,"体验感增强 "
"2014-10-07 14:57:25"," ",,1428484170,"适配屏幕脚本换一下 "
"2014-10-07 14:58:19"," ",,1428484170,"http://amazeui.org/这个蛮新的，可以试试 "
"2014-10-07 18:12:47"," ",,541578455,"个人求职：PHPthinking帮你内推各大互联网公司http://www.phpthinking.com/archives/539 "
"2014-10-08 8:56:54"," ","系统消息",10000,"Hawstein加入本群 "
"2014-10-08 9:06:43"," ",,105904447,"[表情] "
"2014-10-08 9:07:02"," ",,2930242098,"早。 "
"2014-10-08 9:09:51"," ",SOLO,524570375,"早 "
"2014-10-08 9:18:05"," ","‍",506162630,"早 "
"2014-10-08 9:18:30"," ",Hawstein,991008686,"早 "
"2014-10-08 9:21:14"," ","祥STEVEN✅☀",1964667906,"[图片] "
"2014-10-08 9:52:54"," ","三叔",105904447,"早 "
"2014-10-08 10:41:23"," ","踮起脚尖",463112131,"离线下载可以指定某个文章下载吗 "
"2014-10-08 10:43:10"," ","推酷-kafka0102",756976004,"单个文章你点击正文后就缓存了 你可以把它加到待读里 "
"2014-10-08 10:45:35"," ","踮起脚尖",463112131,"好的/憨笑 "
"2014-10-08 10:56:24"," ",,80000000,"[图片] "
"2014-10-08 14:23:21","冒泡","杨帆，",2192276766,"推酷真是一个好东西， "
"2014-10-08 14:35:50","话唠","小酷007",2930242098,"[表情] "
"2014-10-08 14:42:24","传说","三叔",105904447,"好到什么程度？[表情] "
"2014-10-08 15:16:46","吐槽",PHPthinking,541578455,"和推酷交换友情链接 好难[表情] "
"2014-10-08 16:01:52"," ","杨帆，",2192276766,"友链啊，哈哈， "
"2014-10-08 21:57:19","潜水",Hawstein,991008686,"请问一下推酷现在是根据什么来做用户推荐的？点击阅读的文章&阅读时长&收藏的文章？ "
"2014-10-08 21:58:44","潜水","踮起脚尖",463112131,"手机离线下载的文章怎么删除啊 "
"2014-10-08 21:59:11","潜水",Hawstein,991008686,"有没有计划加入「红心」功能，之前用无觅阅读，觉得这个用起来很顺手 "
"2014-10-08 22:02:25","潜水","踮起脚尖",463112131,"gReader Pro 怎么用 "
"2014-10-08 22:38:34","话唠","推酷-kafka0102",756976004,"@Hawstein 缓存的文章数量有上限 应用启动时会检测并删除老的文章 "
"2014-10-08 22:39:18","话唠","推酷-kafka0102",756976004,"@踮起脚尖  @ 错了 "
"2014-10-08 22:39:20","活跃"," I'm a panda ",1154718748,"[图片] "
"2014-10-08 22:39:24","活跃"," I'm a panda ",1154718748,"[图片] "
"2014-10-08 22:39:30","活跃"," I'm a panda ",1154718748,"心塞…… "
"2014-10-08 22:39:40","活跃"," I'm a panda ",1154718748,"大哥里面的东西越来越难理解了 "
"2014-10-08 22:39:55","活跃"," I'm a panda ",1154718748,"[表情]甚至看不懂 "
"2014-10-08 22:40:04","话唠","推酷-kafka0102",756976004,"目前有收藏 赞功能得过段时间 "
"2014-10-08 22:40:34","话唠","推酷-kafka0102",756976004,"@ I'm a panda   推荐的文章难懂？ "
"2014-10-08 22:40:52","活跃"," I'm a panda ",1154718748,"技术类的…… "
"2014-10-08 22:41:07","活跃"," I'm a panda ",1154718748,"有些俺还没学…… "
"2014-10-08 22:41:20","活跃"," I'm a panda ",1154718748,"查一个东西有时候得一天 "
"2014-10-08 22:41:31","活跃"," I'm a panda ",1154718748,"还不一定懂[表情] "
"2014-10-08 22:42:17","话唠","推酷-kafka0102",756976004,"我大学时看程序员杂志也是这种感觉 一本里就能看懂几篇 说明成长空间大 "
